所在区域,平均价格(元/平方),房屋类型,所在楼层,建筑面积,建筑类型,房屋朝向,装修情况,梯户比例,配备电梯,挂牌时间,上次交易时间,产权所属,抵押信息
3,24429,2室2厅1厨1卫,低楼层 (共18层),83.1,2,南 西南,1,两梯四户,1,2018/5/4,2016/2/23,0.5,1
3,24078,2室1厅1厨1卫,中楼层 (共28层),91.37,2,南,1,两梯四户,1,2019/2/21,2017/3/27,1,0.5
1,20388,3室2厅1厨2卫,低楼层 (共28层),141.26,2,南 北,1,两梯四户,1,2018/10/5,2015/1/28,0.5,0.5
9,11344,2室1厅1厨1卫,高楼层 (共11层),79.34,2,南,0.5,一梯四户,1,2019/3/27,2014/5/16,0.5,1
14,17046,3室2厅1厨1卫,中楼层 (共49层),96.8,2,东南,0,三梯八户,1,2019/3/27,暂无数据,0.5,1
14,31959,3室2厅1厨1卫,中楼层 (共32层),97,2,南 北,1,一梯四户,0,2019/4/4,暂无数据,1,0.5
4,17024,3室1厅1厨1卫,中楼层 (共7层),102.8,1,南 北,0.5,一梯两户,0.5,2019/3/10,暂无数据,1,1
5,11738,2室2厅1厨1卫,高楼层 (共18层),81.79,2,东南,0.5,两梯四户,1,2019/2/12,暂无数据,1,1
5,10222,3室2厅1厨2卫,中楼层 (共27层),117.4,2,南 北,0,两梯四户,1,2019/2/21,暂无数据,1,0.5
7,19169,2室2厅1厨1卫,高楼层 (共32层),87.12,1,南,0,一梯四户,0.5,2019/4/13,暂无数据,1,0.5
9,19005,3室2厅1厨1卫,中楼层 (共11层),83.14,2,南,1,一梯四户,1,2019/3/12,2017/8/9,1,0.5
8,18895,2室2厅1厨1卫,中楼层 (共32层),78.33,1,南,0.5,两梯五户,1,2018/4/17,2018/3/13,1,0.5
1,23247,3室2厅1厨2卫,高楼层 (共11层),129.05,3,南 北,0,一梯三户,1,2018/10/14,2009/9/4,0.5,1
14,27658,2室1厅1厨1卫,低楼层 (共32层),99.43,2,西北,1,三梯六户,1,2018/2/23,2014/11/22,0.5,0.5
1,19268,3室2厅1厨2卫,中楼层 (共32层),134.94,3,南,0.5,两梯四户,1,2018/10/17,2016/2/29,1,1
6,14435,3室2厅1厨1卫,高楼层 (共32层),91.45,2,南,0,一梯四户,0,2018/11/10,2019/2/12,1,0.5
1,18307,3室2厅1厨1卫,低楼层 (共18层),94.5,3,北,0.5,三梯七户,1,2019/3/25,2011/10/14,1,1
2,31250,1室1厅1厨1卫,中楼层 (共30层),48,3,东,1,三梯十二户,1,2019/3/10,2016/9/13,1,1
3,24540,3室2厅1厨1卫,高楼层 (共33层),103.1,2,南,0,两梯四户,1,2018/9/25,2018/7/19,0.5,0.5
3,23153,2室2厅1厨1卫,高楼层 (共32层),72.13,2,南,1,三梯十二户,1,2019/2/16,2017/6/9,0.5,0.5
3,19625,2室2厅1厨1卫,中楼层 (共32层),80,3,南,1,两梯四户,1,2019/4/8,2017/2/17,0.5,0.5
2,17485,3室2厅1厨1卫,低楼层 (共29层),88.65,3,南,0,三梯五户,1,2019/1/14,2019/3/19,0.5,1
14,33389,3室2厅1厨2卫,高楼层 (共57层),125.79,3,南,0,三梯五户,1,2018/1/29,2016/12/7,0.5,1
7,16879,3室2厅1厨2卫,中楼层 (共11层),151.08,2,南 北,1,两梯三户,1,2018/9/16,暂无数据,1,0.5
4,17678,2室2厅1厨1卫,高楼层 (共8层),56.57,2,东 西,1,一梯三户,0,2019/4/14,2014/4/4,0.5,1
3,24059,2室2厅1厨1卫,高楼层 (共11层),69.83,2,西,1,一梯三户,1,2019/1/5,2016/12/28,0.5,0.5
4,19136,2室2厅1厨1卫,低楼层 (共18层),81,2,南,1,两梯六户,1,2019/3/13,2017/2/27,1,1
11,21265,2室1厅1厨1卫,高楼层 (共33层),87,2,南,0,一梯四户,0,2019/4/12,暂无数据,0.5,0.5
1,22289,3室2厅1厨2卫,高楼层 (共29层),118,1,南 北,1,两梯六户,1,2018/11/15,暂无数据,1,0.5
1,26360,3室2厅1厨2卫,低楼层 (共33层),121.4,1,南 北,0.5,两梯四户,1,2019/3/27,暂无数据,1,1
9,21415,3室2厅1厨1卫,低楼层 (共18层),95.73,1,南 北,1,三梯六户,1,2019/4/12,暂无数据,1,1
7,16783,2室1厅1厨1卫,高楼层 (共6层),54.82,2,北,0.5,一梯四户,0.5,2019/3/28,2018/12/22,0.5,1
4,21548,3室2厅1厨2卫,低楼层 (共26层),143.87,3,东南,0.5,一梯四户,0,2018/11/7,暂无数据,0.5,1
3,22840,2室2厅1厨1卫,高楼层 (共32层),81,2,南,1,两梯四户,1,2019/4/12,2019/4/12,0.5,0.5
3,19892,2室2厅1厨1卫,高楼层 (共33层),90.49,1,南,0.5,两梯四户,1,2019/2/24,2017/7/10,0.5,0.5
1,19409,3室2厅1厨2卫,低楼层 (共6层),108.2,2,南,1,一梯两户,0.5,2018/10/11,暂无数据,1,1
1,21217,2室2厅1厨1卫,低楼层 (共33层),74,2,南,1,两梯六户,1,2019/3/2,2017/9/26,1,0.5
4,23755,2室2厅1厨1卫,高楼层 (共34层),90.51,3,南 北,1,两梯六户,1,2019/2/11,2016/5/13,0.5,1
1,22195,2室2厅1厨1卫,高楼层 (共13层),87.86,2,南,1,一梯三户,1,2018/5/5,2017/6/22,0.5,0.5
11,19927,2室1厅1厨1卫,低楼层 (共34层),84.81,1,南 北,0,两梯七户,1,2019/4/12,2019/4/11,0.5,1
2,13013,2室1厅1厨1卫,中楼层 (共8层),103.75,2,南,0.5,一梯两户,0,2017/9/26,2017/11/8,1,0.5
2,18988,1室1厅1厨1卫,高楼层 (共18层),48.98,2,西南,0.5,三梯十四户,1,2019/4/7,2017/7/10,0.5,0.5
3,15790,3室2厅1厨1卫,高楼层 (共25层),95,3,南,0.5,一梯四户,0,2019/3/9,暂无数据,0.5,1
2,16667,2室2厅1厨1卫,中楼层 (共6层),96,2,南 北,1,一梯两户,0.5,2019/3/22,暂无数据,0.5,1
3,20000,2室2厅1厨1卫,中楼层 (共18层),75,2,南,1,两梯四户,1,2019/3/3,暂无数据,0.5,0.5
3,16513,2室2厅1厨1卫,中楼层 (共24层),84.18,2,南 北,1,两梯六户,1,2019/3/2,2014/6/18,0.5,1
3,20085,3室2厅1厨2卫,中楼层 (共7层),129.45,2,南 北,1,一梯两户,0.5,2018/5/9,2005/4/1,0.5,1
3,25732,3室2厅1厨1卫,中楼层 (共6层),96.38,2,东南,1,一梯两户,0.5,2019/3/31,2011/3/7,0.5,0.5
2,17818,1室1厅1厨1卫,低楼层 (共8层),53.88,3,南 北,1,一梯三户,0.5,2019/4/14,2002/5/21,0.5,1
1,26842,2室2厅1厨1卫,高楼层 (共40层),100.59,2,东南,0,一梯八户,0,2019/3/17,2019/3/22,0.5,0.5
7,17741,2室2厅1厨1卫,低楼层 (共28层),72.15,1,南 北,1,一梯六户,0,2018/11/22,2018/6/5,0.5,0.5
6,15731,3室2厅1厨1卫,中楼层 (共25层),85.82,2,南 北,0,一梯四户,0,2019/1/12,2015/12/18,0.5,0.5
1,15693,3室2厅1厨2卫,高楼层 (共24层),119.8,3,南 北,1,一梯五户,0,2019/4/14,2015/10/15,0.5,1
2,20717,2室1厅1厨1卫,中楼层 (共32层),82.06,2,南,1,两梯四户,1,2019/3/3,2019/1/18,0.5,0.5
2,20834,2室1厅1厨1卫,高楼层 (共34层),89.28,1,南,1,两梯四户,1,2019/1/8,2016/4/28,1,0.5
6,10721,3室2厅1厨2卫,高楼层 (共6层),135.26,2,南 北,0.5,一梯两户,0,2019/4/15,2017/1/19,0.5,0.5
5,13266,2室2厅1厨1卫,中楼层 (共33层),80.66,3,南,1,两梯四户,1,2018/6/19,2017/1/11,0.5,0.5
1,30974,2室1厅1厨1卫,低楼层 (共28层),101.7,3,东南,0,两梯八户,1,2019/2/14,暂无数据,0.5,0.5
6,14213,3室2厅1厨1卫,高楼层 (共27层),91.47,2,南,0,两梯四户,1,2019/4/13,暂无数据,0.5,0.5
1,20103,3室2厅1厨2卫,高楼层 (共32层),138.79,2,南 北,1,两梯三户,1,2019/3/13,2017/9/6,0.5,0.5
14,16490,3室2厅1厨2卫,中楼层 (共17层),152.82,2,南 北,0.5,两梯两户,1,2018/8/29,2012/6/7,0.5,1
7,16008,3室2厅1厨2卫,中楼层 (共45层),120.94,1,南 北,0,一梯六户,0,2019/4/11,暂无数据,1,0.5
3,13685,3室2厅1厨1卫,中楼层 (共32层),95,2,南,0.5,一梯四户,0,2018/10/20,暂无数据,1,1
2,16195,3室2厅1厨1卫,中楼层 (共11层),91.7,3,南,1,两梯四户,1,2019/3/27,2012/6/16,0.5,1
14,20797,2室2厅1厨1卫,低楼层 (共46层),72.61,2,南 北,1,三梯六户,1,2019/3/4,2016/3/26,0.5,0.5
14,16541,2室1厅1厨1卫,低楼层 (共42层),83.43,2,南,0,三梯五户,1,2019/4/9,2017/12/5,0.5,0.5
